integer_isbn,UserID,Rating
206,243,5
481,243,6
26,243,7
180,243,9
91,243,7
172,243,7
64,243,9
12,243,9
135,243,7
98,243,10
3,254,8
27,254,7
45,254,9
130,254,8
167,254,9
125,254,8
39,254,9
163,254,9
33,254,9
49,254,9
38,254,9
148,254,10
4,254,9
113,638,7
199,638,7
281,638,10
75,638,10
1,638,10
408,638,9
209,638,10
296,638,10
424,638,10
64,638,10
23,638,10
245,638,9
374,638,10
0,638,10
206,1435,10
105,1435,5
220,1435,10
370,1435,5
102,1435,8
271,1435,4
362,1435,7
6,1435,8
160,1435,5
174,1435,5
98,1435,10
105,2766,6
186,2766,8
66,2766,7
165,2766,9
253,2766,7
432,2766,6
13,2766,10
356,2766,8
301,2766,8
250,2766,8
0,2766,9
221,2766,8
207,4017,9
62,4017,5
102,4017,10
3,4017,9
14,4017,10
126,4017,10
200,4017,10
199,4017,8
60,4017,10
412,4017,9
432,4017,7
13,4017,10
318,4017,10
379,4017,10
82,4017,9
211,4017,9
44,4017,10
265,4017,9
314,4017,10
74,4017,10
476,4017,10
172,4017,5
0,4017,10
51,4017,10
32,4017,9
274,4017,10
208,4017,9
98,4017,8
158,6242,6
523,6242,6
207,6242,7
339,6242,8
515,6242,3
62,6242,8
102,6242,8
14,6242,8
202,6242,5
113,6242,5
325,6242,5
216,6242,5
456,6242,5
316,6242,7
48,6242,7
44,6242,8
265,6242,5
189,6242,5
226,6242,6
312,6242,8
2,6242,7
224,6242,7
79,6242,5
29,6242,7
221,6242,6
50,6242,7
506,6251,10
257,6251,8
291,6251,8
102,6251,8
14,6251,8
369,6251,7
286,6251,8
502,6251,3
124,6251,10
388,6251,10
164,6251,10
128,6251,10
181,6251,6
123,6251,7
40,6251,7
10,6251,9
39,6251,10
33,6251,10
352,6251,10
20,6251,7
231,6251,10
148,6251,7
16,6251,6
139,6251,4
70,6251,8
69,6251,7
54,6251,9
244,6251,10
63,6251,7
85,6251,10
207,6543,9
67,6543,7
505,6543,8
398,6543,7
42,6543,9
194,6543,10
140,6543,8
411,6543,8
65,6543,6
249,6543,7
231,6543,10
264,6543,8
106,6543,8
69,6543,8
275,6543,6
4,6543,9
223,6543,8
63,6543,8
29,6543,10
309,6563,8
22,6563,10
336,6563,3
8,6563,9
171,6563,1
287,6563,7
27,6563,2
7,6563,8
302,6563,8
31,6563,9
30,6563,9
24,6563,10
10,6563,10
100,6563,9
20,6563,10
455,6563,7
36,6563,7
261,6563,10
114,6563,8
29,6563,8
98,6563,9
341,6563,8
53,6575,9
67,6575,9
337,6575,2
220,6575,8
52,6575,9
97,6575,5
157,6575,7
102,6575,9
3,6575,9
14,6575,7
113,6575,9
201,6575,8
369,6575,7
156,6575,6
43,6575,9
101,6575,8
66,6575,7
9,6575,6
483,6575,8
6,6575,8
84,6575,2
390,6575,7
65,6575,9
91,6575,7
20,6575,6
55,6575,5
379,6575,4
232,6575,9
122,6575,4
229,6575,7
139,6575,7
28,6575,7
265,6575,8
452,6575,7
519,6575,5
347,6575,8
375,6575,7
423,6575,9
64,6575,8
115,6575,9
69,6575,9
57,6575,9
226,6575,9
136,6575,9
312,6575,7
2,6575,8
4,6575,8
188,6575,4
87,6575,6
86,6575,7
79,6575,8
32,6575,4
29,6575,9
50,6575,9
5,6575,8
56,6575,8
67,7125,10
22,7125,10
8,7125,8
466,7125,9
90,7125,7
229,7125,9
16,7125,7
79,7125,6
19,7125,8
442,7125,8
206,7158,7
308,7158,1
126,7158,9
200,7158,8
465,7158,8
6,7158,8
236,7158,8
195,7158,9
92,7158,9
194,7158,8
59,7158,10
389,7158,10
214,7158,7
452,7158,4
276,7158,5
88,7158,9
8,7283,8
503,7283,8
26,7283,10
65,7283,10
1,7283,9
44,7283,10
477,7283,8
246,7283,8
36,7283,9
29,7283,9
50,7283,10
